,Group,Type,Area,NeighborTYPE,count,prob,mean_dist
123,NRpre,M,AM/PM,A,21,0.17355371900826447,49.897400033888964
124,NRpre,M,AM/PM,M,40,0.3305785123966942,38.01056905040814
125,NRpre,M,AM/PM,V,60,0.49586776859504134,29.77862160179358
126,NRpre,M,LM,A,9,0.5294117647058824,34.56767723747923
127,NRpre,M,LM,M,5,0.29411764705882354,41.62431126747748
128,NRpre,M,LM,V,3,0.17647058823529413,45.324185509927304
129,NRpre,M,V1,A,77,0.20810810810810812,52.42734265869129
130,NRpre,M,V1,M,113,0.3054054054054054,40.377312722430126
131,NRpre,M,V1,V,180,0.4864864864864865,33.20048535424739
132,NRpre,V,A/RL/AL,A,53,0.3680555555555556,42.07227025512324
133,NRpre,V,A/RL/AL,M,31,0.2152777777777778,53.270558163570996
134,NRpre,V,A/RL/AL,V,60,0.4166666666666667,43.49031632049407
135,NRpre,V,AM/PM,A,36,0.14937759336099585,46.82461682870616
136,NRpre,V,AM/PM,M,61,0.25311203319502074,40.52355421357053
137,NRpre,V,AM/PM,V,144,0.5975103734439834,27.244932459195756
138,NRpre,V,LM,A,11,0.5789473684210527,31.49549515403389
139,NRpre,V,LM,M,4,0.21052631578947367,42.78179272617749
140,NRpre,V,LM,V,4,0.21052631578947367,39.29059208576766
141,NRpre,V,V1,A,124,0.19375,52.12121155951265
142,NRpre,V,V1,M,170,0.265625,42.68597965485423
143,NRpre,V,V1,V,346,0.540625,33.27558746416765
144,NRpre,A,A/RL/AL,A,74,0.40217391304347827,40.233668355604316
145,NRpre,A,A/RL/AL,M,58,0.31521739130434784,46.076437088631295
146,NRpre,A,A/RL/AL,V,52,0.2826086956521739,51.72195201976516
147,NRpre,A,AM/PM,A,13,0.16883116883116883,46.861685017767
148,NRpre,A,AM/PM,M,20,0.2597402597402597,37.1548018957001
149,NRpre,A,AM/PM,V,44,0.5714285714285714,26.37409588837414
150,NRpre,A,LM,A,15,0.5769230769230769,30.711255206748646
151,NRpre,A,LM,M,3,0.11538461538461539,51.05234172224753
152,NRpre,A,LM,V,8,0.3076923076923077,33.707942042816356
153,NRpre,A,V1,A,47,0.2,51.496840325998775
154,NRpre,A,V1,M,79,0.33617021276595743,41.47650175265641
155,NRpre,A,V1,V,109,0.46382978723404256,32.19395220625264
156,NRpre,M,A/RL/AL,A,65,0.49242424242424243,38.03174807810837
157,NRpre,M,A/RL/AL,M,34,0.25757575757575757,47.17363250586311
158,NRpre,M,A/RL/AL,V,33,0.25,51.17846520160988
159,NRpre,M,AM/PM,A,21,0.17073170731707318,49.05095534270916
160,NRpre,M,AM/PM,M,26,0.21138211382113822,36.616793492101884
161,NRpre,M,AM/PM,V,76,0.6178861788617886,26.204810037916168
162,NRpre,M,LM,A,2,0.15384615384615385,35.36423943944477
163,NRpre,M,LM,M,4,0.3076923076923077,55.13079761403265
164,NRpre,M,LM,V,7,0.5384615384615384,29.739081301289676
165,NRpre,M,V1,A,65,0.1766304347826087,53.09687729647443
166,NRpre,M,V1,M,119,0.3233695652173913,40.730912026103034
167,NRpre,M,V1,V,184,0.5,34.503678943006946
168,NRpre,V,A/RL/AL,A,53,0.381294964028777,40.34058809743907
169,NRpre,V,A/RL/AL,M,37,0.26618705035971224,49.911461553631156
170,NRpre,V,A/RL/AL,V,49,0.35251798561151076,44.23372404608863
171,NRpre,V,AM/PM,A,43,0.1799163179916318,49.924726099845046
172,NRpre,V,AM/PM,M,69,0.28870292887029286,36.36636541588225
173,NRpre,V,AM/PM,V,127,0.5313807531380753,29.42715888293072
174,NRpre,V,LM,A,9,0.375,33.81421837470714
175,NRpre,V,LM,M,5,0.20833333333333334,44.733336235609464
176,NRpre,V,LM,V,10,0.4166666666666667,34.82432093205769
177,NRpre,V,V1,A,122,0.19003115264797507,51.52087857978032
178,NRpre,V,V1,M,169,0.2632398753894081,44.35356417702057
179,NRpre,V,V1,V,351,0.5467289719626168,31.510048502051113
180,NRpre,A,A/RL/AL,A,74,0.40217391304347827,39.49205121199045
181,NRpre,A,A/RL/AL,M,63,0.3423913043478261,47.39457077535398
182,NRpre,A,A/RL/AL,V,47,0.2554347826086957,45.37731761441175
183,NRpre,A,AM/PM,A,16,0.2077922077922078,47.587549565264446
184,NRpre,A,AM/PM,M,17,0.22077922077922077,36.646289840343854
185,NRpre,A,AM/PM,V,44,0.5714285714285714,25.448008442674556
186,NRpre,A,LM,A,13,0.5,32.02269785653193
187,NRpre,A,LM,M,4,0.15384615384615385,43.02662732017993
188,NRpre,A,LM,V,9,0.34615384615384615,30.801455584354894
189,NRpre,A,V1,A,42,0.17872340425531916,55.49249437744774
190,NRpre,A,V1,M,69,0.2936170212765957,39.57785548952486
191,NRpre,A,V1,V,124,0.5276595744680851,32.10943723766331
192,NRpre,M,A/RL/AL,A,54,0.4153846153846154,40.780784146810326
193,NRpre,M,A/RL/AL,M,43,0.33076923076923076,48.748019279579516
194,NRpre,M,A/RL/AL,V,33,0.25384615384615383,47.55227651316829
195,NRpre,M,AM/PM,A,20,0.16260162601626016,48.962671376052675
196,NRpre,M,AM/PM,M,38,0.3089430894308943,39.338527706735135
197,NRpre,M,AM/PM,V,65,0.5284552845528455,27.631939049678518
198,NRpre,M,LM,A,8,0.5333333333333333,36.98683116295663
199,NRpre,M,LM,M,0,0.0,51.1226363167558
200,NRpre,M,LM,V,7,0.4666666666666667,32.04226222863645
201,NRpre,M,V1,A,81,0.22010869565217392,51.999551032459806
202,NRpre,M,V1,M,98,0.266304347826087,42.54356230231804
203,NRpre,M,V1,V,189,0.5135869565217391,32.16299328632502
204,NRpre,V,A/RL/AL,A,50,0.3546099290780142,42.141278298997314
205,NRpre,V,A/RL/AL,M,31,0.2198581560283688,54.15068568450937
206,NRpre,V,A/RL/AL,V,60,0.425531914893617,43.48502657624644
207,NRpre,V,AM/PM,A,48,0.200836820083682,46.82857343953763
208,NRpre,V,AM/PM,M,59,0.24686192468619247,37.01559292051192
209,NRpre,V,AM/PM,V,132,0.5523012552301255,27.435721807660702
210,NRpre,V,LM,A,11,0.5,32.53418821272979
211,NRpre,V,LM,M,5,0.22727272727272727,41.9045353354437
212,NRpre,V,LM,V,6,0.2727272727272727,40.36320333501441
213,NRpre,V,V1,A,128,0.19937694704049844,51.571903299782996
214,NRpre,V,V1,M,189,0.29439252336448596,41.93881223913106
215,NRpre,V,V1,V,325,0.5062305295950156,32.2844422360311
216,NRpre,A,A/RL/AL,A,66,0.35294117647058826,39.60215489919786
217,NRpre,A,A/RL/AL,M,63,0.33689839572192515,52.18436194970112
218,NRpre,A,A/RL/AL,V,58,0.31016042780748665,45.08893429627845
219,NRpre,A,AM/PM,A,6,0.07692307692307693,50.3275745798755
220,NRpre,A,AM/PM,M,23,0.2948717948717949,38.92616708331517
221,NRpre,A,AM/PM,V,49,0.6282051282051282,27.792704771807948
222,NRpre,A,LM,A,9,0.375,38.71851235666859
223,NRpre,A,LM,M,6,0.25,39.730728339499315
224,NRpre,A,LM,V,9,0.375,35.50814941270206
225,NRpre,A,V1,A,38,0.1630901287553648,52.446776876407206
226,NRpre,A,V1,M,79,0.33905579399141633,44.02515321295602
227,NRpre,A,V1,V,116,0.4978540772532189,30.951651936993986
228,NRpre,M,A/RL/AL,A,49,0.392,35.490160974975836
229,NRpre,M,A/RL/AL,M,43,0.344,45.4404852450975
230,NRpre,M,A/RL/AL,V,33,0.264,43.11722557372661
231,NRpre,M,AM/PM,A,23,0.1885245901639344,45.522578726391316
232,NRpre,M,AM/PM,M,30,0.2459016393442623,35.2309358168039
233,NRpre,M,AM/PM,V,69,0.5655737704918032,26.866816991502414
234,NRpre,M,LM,A,7,0.3684210526315789,34.25730035069635
235,NRpre,M,LM,M,5,0.2631578947368421,43.8531473132905
236,NRpre,M,LM,V,7,0.3684210526315789,34.78824110821992
237,NRpre,M,V1,A,73,0.1972972972972973,49.736743188046304
238,NRpre,M,V1,M,100,0.2702702702702703,42.221430661307195
239,NRpre,M,V1,V,197,0.5324324324324324,31.68139505687181
240,NRpre,V,A/RL/AL,A,60,0.4195804195804196,47.328323502064244
241,NRpre,V,A/RL/AL,M,27,0.1888111888111888,60.29153671148358
242,NRpre,V,A/RL/AL,V,56,0.3916083916083916,46.40885865090115
243,NRpre,V,AM/PM,A,54,0.22594142259414227,46.57523621855397
244,NRpre,V,AM/PM,M,57,0.2384937238493724,40.51031877323363
245,NRpre,V,AM/PM,V,128,0.5355648535564853,26.77144683090743
246,NRpre,V,LM,A,7,0.35,42.818254942378445
247,NRpre,V,LM,M,7,0.35,32.637068582236715
248,NRpre,V,LM,V,6,0.3,35.45016549275922
249,NRpre,V,V1,A,114,0.17757009345794392,52.940079544275214
250,NRpre,V,V1,M,202,0.3146417445482866,41.276131032557366
251,NRpre,V,V1,V,326,0.5077881619937694,32.772018715113425
252,NRpre,A,A/RL/AL,A,93,0.49206349206349204,40.053086276738775
253,NRpre,A,A/RL/AL,M,41,0.21693121693121692,49.71644682449622
254,NRpre,A,A/RL/AL,V,55,0.291005291005291,45.79341393952362
255,NRpre,A,AM/PM,A,17,0.22077922077922077,48.132585625540706
256,NRpre,A,AM/PM,M,23,0.2987012987012987,37.017237523924024
257,NRpre,A,AM/PM,V,37,0.4805194805194805,28.721224363885653
258,NRpre,A,LM,A,7,0.3333333333333333,41.39743698093005
259,NRpre,A,LM,M,8,0.38095238095238093,43.057993933193025
260,NRpre,A,LM,V,6,0.2857142857142857,35.80293195825102
261,NRpre,A,V1,A,47,0.2,50.87476227890711
262,NRpre,A,V1,M,67,0.2851063829787234,46.31161807169096
263,NRpre,A,V1,V,121,0.5148936170212766,31.099691798599977
264,NRpre,M,A/RL/AL,A,50,0.4065040650406504,40.46823936333254
265,NRpre,M,A/RL/AL,M,30,0.24390243902439024,50.66800444336414
266,NRpre,M,A/RL/AL,V,43,0.34959349593495936,41.19936893105752
267,NRpre,M,AM/PM,A,23,0.18699186991869918,44.78699840596651
268,NRpre,M,AM/PM,M,42,0.34146341463414637,36.51864493648734
269,NRpre,M,AM/PM,V,58,0.4715447154471545,30.06462874722011
270,NRpre,M,LM,A,8,0.36363636363636365,30.956199076473524
271,NRpre,M,LM,M,7,0.3181818181818182,34.218705740161134
272,NRpre,M,LM,V,7,0.3181818181818182,37.62091163074771
273,NRpre,M,V1,A,65,0.1766304347826087,51.91544466241029
274,NRpre,M,V1,M,112,0.30434782608695654,39.97810266057691
275,NRpre,M,V1,V,191,0.5190217391304348,29.850423924658244
276,NRpre,V,A/RL/AL,A,55,0.38461538461538464,41.180329548518024
277,NRpre,V,A/RL/AL,M,46,0.32167832167832167,45.84373513610443
278,NRpre,V,A/RL/AL,V,42,0.2937062937062937,45.32593222427328
279,NRpre,V,AM/PM,A,40,0.16736401673640167,48.26818022056655
280,NRpre,V,AM/PM,M,53,0.2217573221757322,38.98858254846229
281,NRpre,V,AM/PM,V,146,0.6108786610878661,26.39824063550707
282,NRpre,V,LM,A,4,0.2,34.197325330257335
283,NRpre,V,LM,M,7,0.35,38.095651485339026
284,NRpre,V,LM,V,9,0.45,36.93911659168634
285,NRpre,V,V1,A,125,0.19470404984423675,52.779076480028145
286,NRpre,V,V1,M,215,0.3348909657320872,43.21377482560782
287,NRpre,V,V1,V,302,0.470404984423676,33.41759018914033
288,NRpre,A,A/RL/AL,A,74,0.387434554973822,44.03824201915807
289,NRpre,A,A/RL/AL,M,61,0.3193717277486911,50.79991625529599
290,NRpre,A,A/RL/AL,V,56,0.2931937172774869,51.66179673490623
291,NRpre,A,AM/PM,A,14,0.18421052631578946,43.150004803760254
292,NRpre,A,AM/PM,M,25,0.32894736842105265,34.57236037298336
293,NRpre,A,AM/PM,V,37,0.4868421052631579,26.24658345624567
294,NRpre,A,LM,A,3,0.15,41.01556195085577
295,NRpre,A,LM,M,8,0.4,39.48625623100121
296,NRpre,A,LM,V,9,0.45,31.881206366582507
297,NRpre,A,V1,A,33,0.14042553191489363,55.89061748136009
298,NRpre,A,V1,M,73,0.31063829787234043,43.183799578496
299,NRpre,A,V1,V,129,0.548936170212766,32.30852748584179
300,NRpre,M,A/RL/AL,A,57,0.4523809523809524,35.984505949439004
301,NRpre,M,A/RL/AL,M,29,0.23015873015873015,50.11814024024612
302,NRpre,M,A/RL/AL,V,40,0.31746031746031744,42.790501338374106
303,NRpre,M,AM/PM,A,29,0.23577235772357724,46.25764995098985
304,NRpre,M,AM/PM,M,35,0.2845528455284553,38.332849355327745
305,NRpre,M,AM/PM,V,59,0.4796747967479675,30.116926922907712
306,NRpre,M,LM,A,7,0.3888888888888889,34.40148633459883
307,NRpre,M,LM,M,5,0.2777777777777778,39.99669567618573
308,NRpre,M,LM,V,6,0.3333333333333333,34.18543873205054
309,NRpre,M,V1,A,75,0.2032520325203252,49.84713163184643
310,NRpre,M,V1,M,92,0.24932249322493225,41.33732052670281
311,NRpre,M,V1,V,202,0.5474254742547425,30.401242641929993
312,NRpre,V,A/RL/AL,A,56,0.4057971014492754,34.95108931530262
313,NRpre,V,A/RL/AL,M,35,0.2536231884057971,46.95089013903347
314,NRpre,V,A/RL/AL,V,47,0.34057971014492755,40.84995330831859
315,NRpre,V,AM/PM,A,39,0.1625,48.72851192904404
316,NRpre,V,AM/PM,M,52,0.21666666666666667,39.028416980565474
317,NRpre,V,AM/PM,V,149,0.6208333333333333,27.042996216217027
318,NRpre,V,LM,A,4,0.16,35.30095516697962
319,NRpre,V,LM,M,12,0.48,34.79174619031773
320,NRpre,V,LM,V,9,0.36,39.457124095318456
321,NRpre,V,V1,A,123,0.1918876755070203,49.87579048096103
322,NRpre,V,V1,M,193,0.30109204368174725,40.78201818193593
323,NRpre,V,V1,V,325,0.5070202808112324,32.64935404114148
324,NRpre,A,A/RL/AL,A,66,0.3492063492063492,42.78614145721737
325,NRpre,A,A/RL/AL,M,56,0.2962962962962963,48.48611090277996
326,NRpre,A,A/RL/AL,V,67,0.3544973544973545,45.74846742821305
327,NRpre,A,AM/PM,A,9,0.11842105263157894,49.048939750228364
328,NRpre,A,AM/PM,M,26,0.34210526315789475,40.99974318142745
329,NRpre,A,AM/PM,V,41,0.5394736842105263,28.53702341405133
330,NRpre,A,LM,A,4,0.18181818181818182,41.74275265022613
331,NRpre,A,LM,M,7,0.3181818181818182,39.49362270686551
332,NRpre,A,LM,V,11,0.5,32.110196317430145
333,NRpre,A,V1,A,44,0.18723404255319148,52.85266505239405
334,NRpre,A,V1,M,66,0.28085106382978725,42.09693339809995
335,NRpre,A,V1,V,125,0.5319148936170213,32.66595959079958
336,NRpre,M,A/RL/AL,A,58,0.453125,40.35688583674988
337,NRpre,M,A/RL/AL,M,30,0.234375,47.434093690546455
338,NRpre,M,A/RL/AL,V,40,0.3125,44.2431859676666
339,NRpre,M,AM/PM,A,23,0.1885245901639344,44.20584062890063
340,NRpre,M,AM/PM,M,35,0.28688524590163933,37.3263658099353
341,NRpre,M,AM/PM,V,64,0.5245901639344263,25.992868376055085
342,NRpre,M,LM,A,7,0.4117647058823529,38.08500739252829
343,NRpre,M,LM,M,3,0.17647058823529413,46.63671177951147
344,NRpre,M,LM,V,7,0.4117647058823529,37.21807617993467
345,NRpre,M,V1,A,75,0.2032520325203252,52.805138150470356
346,NRpre,M,V1,M,109,0.2953929539295393,42.82744747745619
347,NRpre,M,V1,V,185,0.5013550135501355,31.43813600720753
348,NRpre,V,A/RL/AL,A,69,0.5,34.76043976915175
349,NRpre,V,A/RL/AL,M,37,0.26811594202898553,45.58406424384667
350,NRpre,V,A/RL/AL,V,32,0.2318840579710145,45.71917613812898
351,NRpre,V,AM/PM,A,46,0.1908713692946058,48.51023768148046
352,NRpre,V,AM/PM,M,66,0.27385892116182575,37.02387248362599
353,NRpre,V,AM/PM,V,129,0.5352697095435685,27.61380175276475
354,NRpre,V,LM,A,10,0.4166666666666667,33.34908287084196
355,NRpre,V,LM,M,3,0.125,46.53608124552653
356,NRpre,V,LM,V,11,0.4583333333333333,32.960762168337446
357,NRpre,V,V1,A,130,0.20280811232449297,53.4793369389325
358,NRpre,V,V1,M,178,0.27769110764430577,42.64423613492356
359,NRpre,V,V1,V,333,0.5195007800312013,32.13965662510124
360,NRpre,A,A/RL/AL,A,76,0.41530054644808745,40.16418380007986
361,NRpre,A,A/RL/AL,M,47,0.2568306010928962,51.659960005743905
362,NRpre,A,A/RL/AL,V,60,0.32786885245901637,42.18898001880803
363,NRpre,A,AM/PM,A,19,0.24050632911392406,44.35398227351712
364,NRpre,A,AM/PM,M,21,0.26582278481012656,37.38616630155776
365,NRpre,A,AM/PM,V,39,0.4936708860759494,26.617488833685083
366,NRpre,A,LM,A,13,0.48148148148148145,33.05809951647797
367,NRpre,A,LM,M,5,0.18518518518518517,43.08097008913078
368,NRpre,A,LM,V,9,0.3333333333333333,42.684979843341075
369,NRpre,A,V1,A,45,0.19313304721030042,52.97855605707045
370,NRpre,A,V1,M,72,0.3090128755364807,40.08794771878431
371,NRpre,A,V1,V,116,0.4978540772532189,32.59034649730467
372,NRpre,M,A/RL/AL,A,50,0.3937007874015748,44.00576272647706
373,NRpre,M,A/RL/AL,M,36,0.28346456692913385,52.41110973429868
374,NRpre,M,A/RL/AL,V,41,0.3228346456692913,49.962074829187074
375,NRpre,M,AM/PM,A,24,0.19672131147540983,50.48916509827289
376,NRpre,M,AM/PM,M,34,0.2786885245901639,37.174235388227295
377,NRpre,M,AM/PM,V,64,0.5245901639344263,28.461633112762716
378,NRpre,M,LM,A,6,0.3333333333333333,35.6097542368848
379,NRpre,M,LM,M,7,0.3888888888888889,33.44365109340579
380,NRpre,M,LM,V,5,0.2777777777777778,35.396240327901644
381,NRpre,M,V1,A,65,0.17615176151761516,52.02578112361885
382,NRpre,M,V1,M,125,0.33875338753387535,39.14973814246241
383,NRpre,M,V1,V,179,0.48509485094850946,32.374147675305494
384,NRpre,V,A/RL/AL,A,60,0.41379310344827586,41.86614097732101
385,NRpre,V,A/RL/AL,M,47,0.32413793103448274,51.36973191313962
386,NRpre,V,A/RL/AL,V,38,0.2620689655172414,45.27829149450711
387,NRpre,V,AM/PM,A,47,0.19747899159663865,49.015416672028344
388,NRpre,V,AM/PM,M,55,0.23109243697478993,38.80527121010275
389,NRpre,V,AM/PM,V,136,0.5714285714285714,27.785197678799438
390,NRpre,V,LM,A,10,0.5555555555555556,29.254398027354057
391,NRpre,V,LM,M,5,0.2777777777777778,40.587446242372394
392,NRpre,V,LM,V,3,0.16666666666666666,37.20610448796334
393,NRpre,V,V1,A,101,0.15707620528771385,53.5020962175924
394,NRpre,V,V1,M,194,0.30171073094867806,41.90579197403356
395,NRpre,V,V1,V,348,0.5412130637636081,32.01253664296184
396,NRpre,A,A/RL/AL,A,86,0.46994535519125685,39.56078970951213
397,NRpre,A,A/RL/AL,M,51,0.2786885245901639,51.647708977282406
398,NRpre,A,A/RL/AL,V,46,0.25136612021857924,49.57604726282642
399,NRpre,A,AM/PM,A,16,0.2077922077922078,48.19528262376198
400,NRpre,A,AM/PM,M,18,0.23376623376623376,43.86759297924332
401,NRpre,A,AM/PM,V,43,0.5584415584415584,28.716662231416517
402,NRpre,A,LM,A,5,0.17857142857142858,34.49014326227046
403,NRpre,A,LM,M,11,0.39285714285714285,33.48012677633914
404,NRpre,A,LM,V,12,0.42857142857142855,36.8729771770811
