group,animal,log_date,log_date_iso,session_type,mouse_vid,calcium_note,log_roi_count,behavior_note,facemap_note,note,note2,note3,resolved_date,available_in_sessions_overview,available_path,grouping_selection,pre_date_for_animal,post_date_for_animal,loaded_pre_session_name,loaded_pre_total_n_neurons,loaded_pre_V1_n,loaded_pre_AM/PM_n,loaded_pre_A/RL/AL_n,loaded_pre_LM_n,loaded_pre_areas_used_in_decoding,current_pre_status
g1,Poli,17.2.2022,20220217,Bar_Tone_LR,1,"160 ROI (7/10, quite few neurons)",160,10,1,nice video,,,20220217,True,/Volumes/my_SSD/NiNdata/data/g1/Poli/20220217/Bar_Tone_LR/Poli_20220217_008_normcorr_SPSIG.mat,pre,20220217,20220317,Poli_20220217_008,160,146,11,3,0,"V1,AM/PM,A/RL/AL",included: earliest available date for this animal becomes pre
g1,Poli,25.2.2022,20220225,Bar_Tone_LR,0,142 ROI (7/10) few neurons,142,?,1,,,,20220225,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g1,Poli,4.3.2022,20220304,Bar_Tone_LR,1,141 ROI (7/10 some weird z-drift & sudden spikes in signal of some neurons),141,10,1,nice video,,,20220304,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g1,Poli,17.3.2022,20220317,Bar_Tone_LR,1,"169 ROI (7.5/10 probably best out of the series of recordings, possibly go over previous sessions wrt to neurons identified in this last one)",169,"6 squints very frequently, sometimes closes eyes",1,nice video,,,20220317,True,/Volumes/my_SSD/NiNdata/data/g1/Poli/20220317/Bar_Tone_LR/Poli_20220317_010_normcorr_SPSIG.mat,post,20220217,20220317,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Theta,2.1.2022,20220102,Bar_Tone_LR,1,"152 ROI (7/10) quite some drift, not many ROIs, many ""neurons"" with noisy signal",152,10,1,nice video,,,20220102,True,/Volumes/my_SSD/NiNdata/data/g1/Theta/20220102/Bar_Tone_LR/Theta_20220102_002_normcorr_SPSIG.mat,pre,20220102,20220126,Theta_20220102_002,152,26,0,62,64,"V1,A/RL/AL,LM",included: earliest available date for this animal becomes pre
g1,Theta,26.1.2022,20220126,Bar_Tone_LR,0,"211 ROI (7/10) not that many nice ROI, a lot of ""noisy"" signal",211,?,1,nice video,,,20220126,True,/Volumes/my_SSD/NiNdata/data/g1/Theta/20220126/Bar_Tone_LR/Theta_20220126_002_normcorr_SPSIG.mat,post,20220102,20220126,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Zeta,2.12.2021,20211202,Bar_Tone_LR,1,236 ROI (7/10) weird signal in many neurons in multiple areas of the FOV,236,10,1,overexposed video,,,20211202,True,/Volumes/my_SSD/NiNdata/data/g1/Zeta/20211202/Bar_Tone_LR/Zeta_20211202_002_normcorr_SPSIG.mat,pre,20211202,20211229,Zeta_20211202_002,236,185,0,50,0,"V1,A/RL/AL",included: earliest available date for this animal becomes pre
g1,Zeta,2.12.2021,20211202,Bar_Tone_LR2,1,"397 ROI (10/10) one crazy neuron - ROI 7, super high spike rate",397,9 squints a bit,1,overexposed video,,,20211202,True,/Volumes/my_SSD/NiNdata/data/g1/Zeta/20211202/Bar_Tone_LR2/Zeta_20211202_011_normcorr_SPSIG.mat,pre,20211202,20211229,Zeta_20211202_011,397,397,0,0,0,V1,included: additional recording on the animal's earliest available date
g1,Zeta,29.12.2021,20211229,Bar_Tone_LR,0,293 ROI (8/10) better than previous recording,293,?,1,overexposed video,,no deconvolved,20211229,True,/Volumes/my_SSD/NiNdata/data/g1/Zeta/20211229/Bar_Tone_LR/Zeta_20211229_002_normcorr_SPSIG.mat,post,20211202,20211229,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g1,Zeta,29.12.2021,20211229,Bar_Tone_LR2,0,"276 ROI (9/10) some weird drift on the side otherwise many nice neurons, though not as many as in the preious chronically matched recording (still 2 crazy high spiking ROIs [48,49]",276,?,1,overexposed video,,no deconvolved,20211229,True,/Volumes/my_SSD/NiNdata/data/g1/Zeta/20211229/Bar_Tone_LR2/Zeta_20211229_009_normcorr_SPSIG.mat,post,20211202,20211229,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Dieciceis,25.7.2023,20230725,Bar_Tone_LR,1,191 ROIs (10/10),191,10,1,,,,20230725,True,/Volumes/my_SSD/NiNdata/data/g2/Dieciceis/20230725/Bar_Tone_LR/Dieciceis_20230725_002_normcorr_SPSIG.mat,pre,20230725,,Dieciceis_20230725_002,191,0,185,0,0,AM/PM,included: only available date for this animal among sessions with _SPSIG_Res
g2,Diez,8.9.2022,20220908,Bar_Tone_LR,1,272 ROI (10/10),272,10,1,,,,20220908,True,/Volumes/my_SSD/NiNdata/data/g2/Diez/20220908/Bar_Tone_LR/Diez_20220908_008_normcorr_SPSIG.mat,pre,20220908,20221111,Diez_20220908_008,272,0,159,113,0,"AM/PM,A/RL/AL",included: earliest available date for this animal becomes pre
g2,Diez,11.11.2022,20221111,Bar_Tone_LR,1,"303 ROI (7/10) quite some weird drift in many neurons' signal, seems inconsistent, even though ok number if neurons, not that many nice ones",303,10,1,,,,20221111,True,/Volumes/my_SSD/NiNdata/data/g2/Diez/20221111/Bar_Tone_LR/Diez_20221111_004_normcorr_SPSIG.mat,post,20220908,20221111,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Diez,11.11.2022,20221111,Bar_Tone_LR2,1,"329 ROI (10/10) many nice neurons, nice FOV",329,10,1,same area actually???,,,20221111,True,/Volumes/my_SSD/NiNdata/data/g2/Diez/20221111/Bar_Tone_LR2/Diez_20221111_008_normcorr_SPSIG.mat,post,20220908,20221111,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Duo,22.12.2021,20211222,Bar_Tone_LR,1,249 ROI (9/10) z-drift shift in focal plane around 820 sec for some neurons,249,10,1,overexposed,,,20211222,True,/Volumes/my_SSD/NiNdata/data/g2/Duo/20211222/Bar_Tone_LR/Duo_20211222_002_normcorr_SPSIG.mat,pre,20211222,20220121,Duo_000_002,249,177,0,71,1,"V1,A/RL/AL",included: earliest available date for this animal becomes pre
g2,Duo,30.12.2021,20211230,Bar_Tone_LR,0,392 ROI (10/10) wow,392,?,1,,,,20211230,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Duo,13.1.2022,20220113,Bar_Tone_LR,0,358 ROI (9/10) some drift,358,?,1,,,,20220113,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Duo,21.01.2022,20220121,Bar_Tone_LR,0,516 ROI (10/10),516,?,1,,,,20220121,True,/Volumes/my_SSD/NiNdata/data/g2/Duo/20220121/Bar_Tone_LR/Duo_20220121_002_normcorr_SPSIG.mat,post,20211222,20220121,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Duo,21.01.2022,20220121,Bar_Tone_LR2,0,362 ROI (10/10),362,?,1,incorrect RETURN autoretrievedecon,same area,or ignore,20220121,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Nueve,4.8.2022,20220804,Bar_Tone_LR,1,331 ROI (10/10) nice signal many neurons,331,10,1,,,,20220804,True,/Volumes/my_SSD/NiNdata/data/g2/Nueve/20220804/Bar_Tone_LR/Nueve_20220804_006_normcorr_SPSIG.mat,pre,20220804,20220907,Nueve_20220804_001,331,331,0,0,0,V1,included: earliest available date for this animal becomes pre
g2,Nueve,7.9.2022,20220907,Bar_Tone_LR,1,269 ROI (10/10) nice signal many neurons,269,10,1,,,,20220907,True,/Volumes/my_SSD/NiNdata/data/g2/Nueve/20220907/Bar_Tone_LR/Nueve_20220907_008_normcorr_SPSIG.mat,post,20220804,20220907,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Ocho,4.8.2022,20220804,Bar_Tone_LR,1,146 (8/10) not that many neurons but some nice ones,146,"6 Often Closes eyes, regularly for prolonged periods (sleep?)",1,,,,20220804,True,/Volumes/my_SSD/NiNdata/data/g2/Ocho/20220804/Bar_Tone_LR/Ocho_20220804_006_normcorr_SPSIG.mat,pre,20220804,20220907,Ocho_20220804_006,146,60,0,15,71,"V1,A/RL/AL,LM",included: earliest available date for this animal becomes pre
g2,Ocho,7.9.2022,20220907,Bar_Tone_LR,1,155 (8/10) not that many neurons but some really nice ones (one central TEXTBOOK neuron),155,10,1,,,,20220907,True,/Volumes/my_SSD/NiNdata/data/g2/Ocho/20220907/Bar_Tone_LR/Ocho_20220907_008_normcorr_SPSIG.mat,post,20220804,20220907,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Once,21.7.2023,20230721,Bar_Tone_LR,0,"123 ROI (6/10) few ROI, quite some neurons with irregular / rare spiking ?",123,?,1,,,,20230721,True,/Volumes/my_SSD/NiNdata/data/g2/Once/20230721/Bar_Tone_LR/Once_20230721_003_normcorr_SPSIG.mat,pre,20230721,,Once_20230721_003,123,0,5,111,0,"AM/PM,A/RL/AL",included: only available date for this animal among sessions with _SPSIG_Res
g2,Quatro,28.1.2022,20220128,Bar_Tone_LR,1,"334 ROI (8.5/10) a lot of neurons, some noisy ones, neuron-rich area near top border",334,9 squints only in first few minutes,1,no deconvolved,,,20220128,True,/Volumes/my_SSD/NiNdata/data/g2/Quatro/20220128/Bar_Tone_LR/Quatro_20220128_001_normcorr_SPSIG.mat,pre,20220128,20220222,Quatro_20220128_001,334,334,0,0,0,V1,included: earliest available date for this animal becomes pre
g2,Quatro,2.2.2022,20220202,Bar_Tone_LR,1,472 ROI (10/10),472,9 squints a lot,1,,,,20220202,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Quatro,8.2.2022,20220208,Bar_Tone_LR,1,462 ROI (10/10),462,8 squints a lot and few times closes eyes completely,1,,,,20220208,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Quatro,22.2.2022,20220222,Bar_Tone_LR,0,279 ROI (8/10) quite pronounced z-drift around 2000 sec in almost all neurons,279,?,1,no deconvolved,,,20220222,True,/Volumes/my_SSD/NiNdata/data/g2/Quatro/20220222/Bar_Tone_LR/Quatro_20220222_007_normcorr_SPSIG.mat,post,20220128,20220222,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Quince,25.7.2023,20230725,Bar_Tone_LR,0,"95 ROI (7/10) few neurons, quite sparse…",95,?,1,,,,20230725,True,/Volumes/my_SSD/NiNdata/data/g2/Quince/20230725/Bar_Tone_LR/Quince_20230725_001_normcorr_SPSIG.mat,pre,20230725,,Quince_20230725_001,95,95,0,0,0,V1,included: only available date for this animal among sessions with _SPSIG_Res
g2,Quince,25.7.2023,20230725,Bar_Tone_LR2,0,"159 ROI (7/10) unfortunate FOV, most doesn’t contain any neurons",159,?,NO FACEMAP,,,,20230725,True,/Volumes/my_SSD/NiNdata/data/g2/Quince/20230725/Bar_Tone_LR2/Quince_20230725_003_normcorr_SPSIG.mat,pre,20230725,,Quince_20230725_003,159,0,0,149,0,A/RL/AL,included: only available date for this animal among sessions with _SPSIG_Res
g2,Siette,2.8.2022,20220802,Bar_Tone_LR,0,89 ROI (6/10) some nice neurons but less than 1/4th of FOV contains neurons,89,?,1,,,,20220802,True,/Volumes/my_SSD/NiNdata/data/g2/Siette/20220802/Bar_Tone_LR/Siette_20220802_003_normcorr_SPSIG.mat,pre,20220802,20220906,Siette_20220802_003,89,10,0,77,2,"V1,A/RL/AL,LM",included: earliest available date for this animal becomes pre
g2,Siette,6.9.2022,20220906,Bar_Tone_LR,0,"88 ROI (6/10) pretty much same situation as before, some nice neurons but < 1/4 of FOV contains neurons",88,?,1,,,,20220906,True,/Volumes/my_SSD/NiNdata/data/g2/Siette/20220906/Bar_Tone_LR/Siette_20220906_008_normcorr_SPSIG.mat,post,20220802,20220906,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
g2,Trece,21.7.2023,20230721,Bar_Tone_LR,0,"187 ROI (9/10) most really nice neurons, some noisy",187,?,1,,,,20230721,True,/Volumes/my_SSD/NiNdata/data/g2/Trece/20230721/Bar_Tone_LR/Trece_20230721_001_normcorr_SPSIG.mat,pre,20230721,,Trece_20230721_001,187,187,0,0,0,V1,included: only available date for this animal among sessions with _SPSIG_Res
g2,Tres,19.1.2022,20220119,Bar_Tone_LR,0,692 ROI (10/10) woah,692,?,1,,,,20220119,True,/Volumes/my_SSD/NiNdata/data/g2/Tres/20220119/Bar_Tone_LR/Tres_20220119_001_normcorr_SPSIG.mat,pre,20220119,20220215,Tres_20220119_001,692,442,186,64,0,"V1,AM/PM,A/RL/AL",included: earliest available date for this animal becomes pre
g2,Tres,25.1.2022,20220125,Bar_Tone_LR,0,659 ROI (10/10),659,?,1,,,,20220125,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Tres,1.2.2022,20220201,Bar_Tone_LR,0,654 ROI (10/10),654,?,1,,,,20220201,False,,,,,,,,,,,,"excluded before grouping: session is not present in SessionsOverview, so no usable _SPSIG_Res export was found"
g2,Tres,15.2.2022,20220215,Bar_Tone_LR,1,800 ROI (10/10),800,6 closes eyes regularly,1,,,,20220215,True,/Volumes/my_SSD/NiNdata/data/g2/Tres/20220215/Bar_Tone_LR/Tres_20220215_002_normcorr_SPSIG.mat,post,20220119,20220215,,,,,,,,excluded from current pre: latest available date for this animal is assigned to post
